country_name,latitude,longitude,GDP
Cambodia,12.5657,104.991,2.66E+10
Mali,17.57,-4,1.91E+10
Jordan,30.5852,36.2384,4.57E+10
Congo Democratic Republic,-4.0383,21.7587,5.54E+10
Liberia,6.43,-9.43,3.51E+09
Timor-Leste,-8.8742,125.7275,3.62E+09
Tanzania,-6.37,34.89,6.78E+10
Mozambique,-18.67,35.53,1.58E+10
Cote d'Ivoire,7.54,-5.5471,7.00E+10
Tajikistan,38.861,71.2761,8.75E+09
Namibia,-22.96,18.49,1.23E+09
Egypt,26.82,30.8,4.04E+11
Armenia,40.0691,45.0382,1.39E+09
Ethiopia,9.145,40.49,1.11E+11
Maldives,3.2028,73.2207,5.06E+09